store_name,address,newAddress
부산화명수정역점,"부산광역시 북구 학사로 8  (화명동 2312), 크리스탈타워 2층 201~202호  ","부산광역시 북구 학사로 8 (화명동 2312), 크리스탈타워 2층 201~202호"
용인역북점,경기도 용인시 처인구 역북동 598-7   ,경기도 용인시 처인구 역북동 598-7
부산중앙역점,부산광역시 중구 중앙대로 102 팬오션빌딩 1F  ,부산광역시 중구 중앙대로 102 팬오션빌딩 1F
천안신부동점,충남 천안시 동남구 만남로 48  ,충청남도 천안시 동남구 만남로 48
제주아라점,제주도 제주시 연북로 511  ,제주특별자치도 제주시 연북로 511
혜화역점,서울시 종로구 대명길 5  ,서울특별시 종로구 대명길 5
용인에버랜드점,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담)  ,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담)
명동거리점,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층  ,서울특별시 중구 명동 10길 52 명동역 신한은행 사옥 1층
안양LS타워점,경기도 안양시 동안구 엘에스로 127 1층  ,경기도 안양시 동안구 엘에스로 127 1층
상암SBS프리즘타워점,서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비  ,서울특별시 마포구 상암산로 82 SBS 프리즘 타워 1층 로비
